TradeID	PortfolioID	ProductClass	RiskType	Qualifier	Bucket	Label1	Label2	AmountCurrency	Amount
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	109.947057
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	11.19687128
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-147.083096
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-3877.337724
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-744.3416121
1279450909A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	20.60424804
1279592757A	9534	RatesFX	Risk_FX	BRL				USD	-6391.679134
1279592757A	9534	RatesFX	Risk_FX	USD				USD	7583.587923
1279592757A	9534	RatesFX	Risk_IRCurve	BRL	1	10y	Libor1m	USD	120.6718941
1279592757A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	103.0139766
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-1042.674865
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	15y	Libor3m	USD	-3.484251138
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	1.766148682
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	0.066037636
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-36.39624421
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	15.3598625
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-130.8933364
1279592757A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	1.41690118
1280642717A	9534	RatesFX	Risk_FX	BRL				USD	21135.2898
1280642717A	9534	RatesFX	Risk_FX	USD				USD	-1713.153883
1280642717A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	-114.9765865
1280642717A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	-134.6976136
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	4.118575775
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-8.546282692
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-10.38956026
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	75.49913606
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	872.8485356
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	389.0755742
1280642717A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-0.420473099
1280642833A	9534	RatesFX	Risk_FX	BRL				USD	-28106.42743
1280642833A	9534	RatesFX	Risk_FX	JPY				USD	9607.25309
1280642833A	9534	RatesFX	Risk_FX	USD				USD	-9298.596298
1280642833A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	389.523128
1280642833A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	58.23915479
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	10y	Libor6m	USD	-4.818833945
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	USD	64.22140297
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	USD	46.09051574
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	3m	Libor6m	USD	41.87788987
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	USD	-488.5508149
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	5y	Libor6m	USD	-202.5740954
1280642833A	9534	RatesFX	Risk_IRCurve	JPY	2	6m	Libor6m	USD	-189.4297487
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-0.003277948
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-0.505512942
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-0.147456257
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-3.607538367
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	0.374613839
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	0.414621693
1280642833A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-0.208349633
1281028159A	9534	RatesFX	Risk_FX	BRL				USD	-3551.488629
1281028159A	9534	RatesFX	Risk_FX	USD				USD	8539.486815
1281028159A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	104.5569948
1281028159A	9534	RatesFX	Risk_IRCurve	BRL	1	3y	Libor1m	USD	54.99302776
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	0.196650795
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-5.862336746
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-21.80313382
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-21.56524227
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-362.2719554
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	11.02740624
1281028159A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-5.783606108
1281048888A	9534	RatesFX	Risk_FX	BRL				USD	5381.989237
1281048888A	9534	RatesFX	Risk_FX	JPY				USD	-20617.63504
1281048888A	9534	RatesFX	Risk_FX	USD				USD	476.4597396
1281048888A	9534	RatesFX	Risk_IRCurve	BRL	1	1y	Libor1m	USD	-112.6176326
1281048888A	9534	RatesFX	Risk_IRCurve	BRL	1	2y	Libor1m	USD	-109.5130502
1281048888A	9534	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	USD	13.33908062
1281048888A	9534	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	USD	243.2754992
1281048888A	9534	RatesFX	Risk_IRCurve	JPY	2	3m	Libor6m	USD	-32.25713192
1281048888A	9534	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	USD	-1.253151145
1281048888A	9534	RatesFX	Risk_IRCurve	JPY	2	5y	Libor6m	USD	0.795545787
1281048888A	9534	RatesFX	Risk_IRCurve	JPY	2	6m	Libor6m	USD	44.15661788
1281048888A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-0.000425882
1281048888A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	0.003216778
1281048888A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	27.47391473
1281048888A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-0.026882208
1281048888A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	0.008252616
1281048888A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	0.222592527
1284854311A	9534	RatesFX	Risk_FX	BRL				USD	-5448.429232
1284854311A	9534	RatesFX	Risk_FX	USD				USD	14021.46842
1284854311A	9534	RatesFX	Risk_IRCurve	BRL	1	10y	Libor1m	USD	133.378446
1284854311A	9534	RatesFX	Risk_IRCurve	BRL	1	5y	Libor1m	USD	2.083124592
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-186.6770968
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	0.505381296
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	0.50367713
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-63.68698237
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	53.28833969
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-687.4467777
1284854311A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	3.540414944
1287584039A	9534	RatesFX	Risk_FX	INR				USD	-55326.60947
1287584039A	9534	RatesFX	Risk_FX	USD				USD	31969.44437
1287584039A	9534	RatesFX	Risk_IRCurve	INR	1	1y	Libor12m	USD	69.17330815
1287584039A	9534	RatesFX	Risk_IRCurve	INR	1	2y	Libor12m	USD	-0.50380907
1287584039A	9534	RatesFX	Risk_IRCurve	INR	1	6m	Libor12m	USD	38.09638197
1287584039A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	-0.195312298
1287584039A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	-0.008647658
1287584039A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	-99.19672242
1287584039A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	-128.4745033
1291293799A	9534	RatesFX	Risk_FX	IDR				USD	-52677.41337
1291293799A	9534	RatesFX	Risk_FX	USD				USD	22207.21039
1291293799A	9534	RatesFX	Risk_IRCurve	IDR	1	1y	Libor6m	USD	-29.91469691
1291293799A	9534	RatesFX	Risk_IRCurve	IDR	1	2y	Libor6m	USD	-17.99453693
1291293799A	9534	RatesFX	Risk_IRCurve	IDR	1	3m	Libor6m	USD	-0.517914655
1291293799A	9534	RatesFX	Risk_IRCurve	IDR	1	3y	Libor6m	USD	964.7133698
1291293799A	9534	RatesFX	Risk_IRCurve	IDR	1	5y	Libor6m	USD	538.8836974
1291293799A	9534	RatesFX	Risk_IRCurve	IDR	1	6m	Libor6m	USD	-2.223208842
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	10y	Libor3m	USD	-1.914694448
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	1y	Libor3m	USD	19.57260718
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	2y	Libor3m	USD	14.01109278
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	3m	Libor3m	USD	19.81302337
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	3y	Libor3m	USD	-490.9238791
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	5y	Libor3m	USD	-269.5909322
1291293799A	9534	RatesFX	Risk_IRCurve	USD	1	6m	Libor3m	USD	13.62944493
