#TradeId,ResultId,ResultType,ResultValue
6:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-07,double,4378.773505
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-08,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-09,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-10,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-11,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-14,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-15,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-16,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-17,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-18,double,0.166080
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-21,double,0.163060
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-22,double,0.162313
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-23,double,0.161656
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-24,double,0.161075
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-25,double,0.160556
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-28,double,0.159290
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-29,double,0.158943
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-30,double,0.158625
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-31,double,0.158333
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-01,double,0.158065
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-04,double,0.157371
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-05,double,0.157171
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-06,double,0.156985
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-07,double,0.156810
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-08,double,0.156646
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-11,double,0.156209
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-12,double,0.156079
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-13,double,0.155956
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-14,double,0.155840
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-15,double,0.155729
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-18,double,0.156298
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-19,double,0.156469
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-20,double,0.156633
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-21,double,0.156789
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-22,double,0.156938
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-25,double,0.157349
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-26,double,0.157474
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-27,double,0.157595
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-28,double,0.157711
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-09-29,double,0.157822
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-02,double,0.158132
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-03,double,0.158228
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-04,double,0.158321
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-05,double,0.158410
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-06,double,0.158497
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-09,double,0.158739
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-10,double,0.158815
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-11,double,0.158888
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-12,double,0.158959
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-13,double,0.159028
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-16,double,0.159223
