#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet
158,2022-03-11,14,81320.360940,81320.369122,0.000000,156610.136252,CPTY_A
159,2022-03-25,14,94721.255565,96653.818377,0.000000,149376.941426,CPTY_A
160,2022-04-08,14,82339.886298,84731.800132,0.000000,87267.438236,CPTY_A
161,2022-04-22,14,109821.115642,110938.177021,0.000000,153487.334748,CPTY_A
162,2022-05-06,14,90129.904745,90606.009315,0.000000,116006.570563,CPTY_A
163,2022-05-20,14,67422.153862,67526.987403,0.000000,57487.743342,CPTY_A
164,2022-06-03,14,91899.088330,92021.033323,0.000000,199880.939799,CPTY_A
165,2022-06-17,14,97665.979385,97689.491837,0.000000,121075.879929,CPTY_A
166,2022-07-01,14,89053.513042,91052.082703,0.000000,117828.732669,CPTY_A
167,2022-07-15,14,82579.100711,82994.269655,0.000000,104988.514287,CPTY_A
168,2022-07-29,14,62452.453331,63446.945554,0.000000,78381.548175,CPTY_A
169,2022-08-12,14,79716.445569,80005.135027,0.000000,139865.161197,CPTY_A
170,2022-08-26,14,87518.991656,88451.737861,0.000000,118299.989279,CPTY_A
171,2022-09-09,14,72930.375728,72981.754379,0.000000,98535.103491,CPTY_A
172,2022-09-23,14,67798.443075,68008.815414,0.000000,94716.087531,CPTY_A
173,2022-10-07,14,115675.719181,116219.001311,0.000000,152053.578442,CPTY_A
174,2022-10-21,14,83678.039490,83856.978124,0.000000,109990.629546,CPTY_A
175,2022-11-04,14,86534.832337,86559.218617,0.000000,86180.370678,CPTY_A
176,2022-11-18,14,87850.746864,87875.821820,0.000000,126522.648794,CPTY_A
177,2022-12-02,14,92179.152669,92220.409651,0.000000,128072.646352,CPTY_A
178,2022-12-16,14,88558.165692,88565.136552,0.000000,96528.181212,CPTY_A
179,2022-12-30,14,75651.204555,75924.707980,0.000000,137951.091761,CPTY_A
180,2023-01-13,14,82604.122625,83446.728593,0.000000,83274.251592,CPTY_A
181,2023-01-27,14,83151.177840,83405.079903,0.000000,90434.506084,CPTY_A
182,2023-02-10,14,89983.033821,90101.210281,0.000000,178843.025773,CPTY_A
183,2023-02-24,14,82103.223573,82308.000642,0.000000,97901.566566,CPTY_A
184,2023-03-10,14,86696.730328,88694.769683,0.000000,162821.164935,CPTY_A
185,2023-03-24,18,81780.338535,81852.831062,0.000000,92291.449451,CPTY_A
186,2023-04-11,10,87110.061950,87193.000739,0.000000,85517.606499,CPTY_A
187,2023-04-21,14,73868.244279,74130.288497,0.000000,67253.763217,CPTY_A
188,2023-05-05,14,81035.298852,81168.815798,0.000000,80046.331733,CPTY_A
189,2023-05-19,14,89984.450396,90149.433335,0.000000,147356.342947,CPTY_A
190,2023-06-02,14,105124.577929,105215.279499,0.000000,192109.165810,CPTY_A
191,2023-06-16,14,82732.688569,82902.587735,0.000000,85584.961413,CPTY_A
192,2023-06-30,14,79009.268899,79180.175052,0.000000,104369.214941,CPTY_A
193,2023-07-14,14,87106.594009,87235.116220,0.000000,68488.016283,CPTY_A
194,2023-07-28,14,80751.801841,81184.248544,0.000000,84943.130825,CPTY_A
195,2023-08-11,14,81318.764969,81332.706206,0.000000,103783.645986,CPTY_A
196,2023-08-25,14,98967.851298,98968.450466,0.000000,115488.700393,CPTY_A
197,2023-09-08,14,84896.552481,85154.395374,0.000000,98435.433850,CPTY_A
198,2023-09-22,14,90075.651705,93404.308771,0.000000,143415.073935,CPTY_A
199,2023-10-06,14,74442.539037,74970.469954,0.000000,57413.729962,CPTY_A
200,2023-10-20,14,99183.287216,99209.158375,0.000000,123488.949249,CPTY_A
201,2023-11-03,14,112824.409759,112954.660749,0.000000,157534.667117,CPTY_A
202,2023-11-17,14,80985.641235,81518.892648,0.000000,136841.826600,CPTY_A
203,2023-12-01,14,72931.718373,73311.821993,0.000000,91632.349297,CPTY_A
204,2023-12-15,14,104054.495907,104231.222275,0.000000,89776.651948,CPTY_A
205,2023-12-29,14,88074.254056,89649.369788,0.000000,107223.375227,CPTY_A
206,2024-01-12,14,82788.790117,82846.602963,0.000000,124041.843906,CPTY_A
207,2024-01-26,14,82994.693387,84663.021332,0.000000,123088.533571,CPTY_A
208,2024-02-09,14,96715.346981,97825.979184,0.000000,167597.878833,CPTY_A
209,2024-02-23,14,72093.020993,72099.309697,0.000000,67727.873012,CPTY_A
210,2024-03-08,14,97419.175934,98174.738251,0.000000,100440.405884,CPTY_A
211,2024-03-22,14,89728.277326,90383.468175,0.000000,112780.899757,CPTY_A
212,2024-04-05,14,90094.829407,90408.239454,0.000000,129340.913352,CPTY_A
213,2024-04-19,14,71845.194813,72147.007564,0.000000,133870.025433,CPTY_A
214,2024-05-03,14,107600.716751,107630.318605,0.000000,131703.255866,CPTY_A
215,2024-05-17,14,90701.962933,91152.755475,0.000000,81180.160239,CPTY_A
216,2024-05-31,14,117797.099725,117809.975526,0.000000,172970.649175,CPTY_A
217,2024-06-14,14,76251.686496,76483.730837,0.000000,99659.421978,CPTY_A
218,2024-06-28,14,75262.241327,75355.489944,0.000000,79377.350451,CPTY_A
219,2024-07-12,14,82812.547020,83085.028352,0.000000,127149.379234,CPTY_A
220,2024-07-26,14,106143.031219,106242.854023,0.000000,107370.798896,CPTY_A
221,2024-08-09,14,104267.235744,104370.568322,0.000000,140145.258496,CPTY_A
222,2024-08-23,14,88443.628239,88682.519427,0.000000,179164.951851,CPTY_A
223,2024-09-06,14,101469.514667,101564.544962,0.000000,130794.783479,CPTY_A
224,2024-09-20,14,86126.976888,86487.857949,0.000000,88633.441962,CPTY_A
225,2024-10-04,14,88542.417135,88547.656493,0.000000,147082.752573,CPTY_A
226,2024-10-18,14,103709.263865,103714.600598,0.000000,140563.754131,CPTY_A
227,2024-11-01,14,84427.881391,84994.856431,0.000000,107140.233773,CPTY_A
228,2024-11-15,14,81366.427266,81368.537929,0.000000,79317.410351,CPTY_A
229,2024-11-29,14,107263.228855,108557.108831,0.000000,186046.231555,CPTY_A
230,2024-12-13,14,105972.464538,106145.724050,0.000000,110674.666541,CPTY_A
231,2024-12-27,14,100820.983346,100836.785673,0.000000,146964.018206,CPTY_A
232,2025-01-10,14,81966.268203,82301.495750,0.000000,94693.098291,CPTY_A
233,2025-01-24,14,132503.400202,132745.796909,0.000000,165855.377605,CPTY_A
234,2025-02-07,14,72943.734408,74328.942537,0.000000,103022.552858,CPTY_A
235,2025-02-21,14,92224.614311,92227.558475,0.000000,163003.085563,CPTY_A
236,2025-03-07,14,89353.560263,89530.172343,0.000000,149522.758260,CPTY_A
237,2025-03-21,14,103912.598170,103987.933543,0.000000,163350.518189,CPTY_A
238,2025-04-04,18,89968.421215,89975.378592,0.000000,112295.394109,CPTY_A
239,2025-04-22,10,78237.815801,78297.773904,0.000000,104822.722642,CPTY_A
240,2025-05-02,14,110490.049115,110523.961134,0.000000,133621.024235,CPTY_A
241,2025-05-16,14,98798.445699,99576.118888,0.000000,135991.020580,CPTY_A
242,2025-05-30,14,86045.715338,86046.171791,0.000000,91027.032958,CPTY_A
243,2025-06-13,14,113471.337791,113504.028438,0.000000,156947.536988,CPTY_A
244,2025-06-27,14,83186.463278,83195.812686,0.000000,79265.357469,CPTY_A
245,2025-07-11,14,96328.785867,96771.602413,0.000000,124557.346203,CPTY_A
246,2025-07-25,14,100373.706179,101539.480439,0.000000,166438.582366,CPTY_A
247,2025-08-08,14,95070.370422,95117.276702,0.000000,92106.781477,CPTY_A
248,2025-08-22,14,107277.205614,107977.189233,0.000000,122547.007496,CPTY_A
249,2025-09-05,14,98891.288631,98912.208848,0.000000,152704.818276,CPTY_A
250,2025-09-19,14,109199.664467,109406.498248,0.000000,152927.730792,CPTY_A
251,2025-10-03,14,105785.333105,105785.599931,0.000000,148360.071202,CPTY_A
252,2025-10-17,14,79847.163096,79848.247022,0.000000,107853.409405,CPTY_A
253,2025-10-31,14,86181.833773,86479.085155,0.000000,73185.888881,CPTY_A
254,2025-11-14,14,105557.974031,105657.642345,0.000000,195611.961859,CPTY_A
255,2025-11-28,14,96195.952993,96238.670444,0.000000,141056.377555,CPTY_A
256,2025-12-12,17,76188.183013,76195.477937,0.000000,129820.924957,CPTY_A
257,2025-12-29,11,72091.313217,72092.378836,0.000000,76083.779610,CPTY_A
258,2026-01-09,14,90049.815771,90070.941045,0.000000,130940.883495,CPTY_A
259,2026-01-23,14,89350.996738,90029.570348,0.000000,120889.020648,CPTY_A
260,2026-02-06,14,97718.640695,97909.544350,0.000000,162498.057576,CPTY_A
261,2026-02-20,14,129916.493742,130087.520384,0.000000,179468.676260,CPTY_A
262,2026-03-06,14,118368.330633,118374.129477,0.000000,191630.555782,CPTY_A
263,2026-03-20,18,113037.151817,113207.102151,0.000000,109693.941379,CPTY_A
264,2026-04-07,10,111451.969473,112835.719397,0.000000,98985.925415,CPTY_A
265,2026-04-17,18,131831.017194,131885.795318,0.000000,218438.168675,CPTY_A
266,2026-05-05,10,103562.014175,103919.728560,0.000000,114874.059531,CPTY_A
267,2026-05-15,14,69936.212305,69963.660794,0.000000,86015.327656,CPTY_A
268,2026-05-29,14,100744.531102,100744.612653,0.000000,122969.051725,CPTY_A
269,2026-06-12,14,85305.366485,87672.708058,0.000000,81740.512154,CPTY_A
270,2026-06-26,14,105151.066218,105661.787292,0.000000,145188.510185,CPTY_A
271,2026-07-10,14,138472.864524,138972.002449,0.000000,194088.283546,CPTY_A
272,2026-07-24,14,113026.619442,113029.487880,0.000000,183347.315999,CPTY_A
273,2026-08-07,14,73840.824052,73976.600055,0.000000,103206.613150,CPTY_A
274,2026-08-21,14,91661.916671,92105.224158,0.000000,126550.395200,CPTY_A
275,2026-09-04,14,108759.928745,108884.749563,0.000000,147866.166025,CPTY_A
276,2026-09-18,14,89009.986500,89189.423144,0.000000,94362.718069,CPTY_A
277,2026-10-02,14,98146.303360,100410.021475,0.000000,161078.101763,CPTY_A
278,2026-10-16,14,103012.578027,103102.094019,0.000000,122734.643221,CPTY_A
279,2026-10-30,14,66378.459969,68354.397873,0.000000,134177.100749,CPTY_A
280,2026-11-13,14,111714.108562,112511.338120,0.000000,181200.454709,CPTY_A
281,2026-11-27,14,102460.046226,103069.453347,0.000000,118928.698240,CPTY_A
282,2026-12-11,18,73603.486205,74601.037527,0.000000,88511.614635,CPTY_A
283,2026-12-29,10,103151.758189,103991.678419,0.000000,98536.608565,CPTY_A
284,2027-01-08,14,76660.865242,76756.647854,0.000000,72176.397080,CPTY_A
285,2027-01-22,14,96301.435178,96802.269758,0.000000,94042.118098,CPTY_A
286,2027-02-05,14,94760.482109,95123.284219,0.000000,178941.920335,CPTY_A
287,2027-02-19,14,75856.020825,79187.122292,-11482.869204,96304.215269,CPTY_A
288,2027-03-05,14,89288.497397,89317.009035,0.000000,109934.800973,CPTY_A
289,2027-03-19,14,70683.952573,70914.971177,0.000000,80600.867220,CPTY_A
290,2027-04-02,14,90405.974766,90516.760716,0.000000,164833.799022,CPTY_A
291,2027-04-16,14,90869.834316,90890.623492,0.000000,124522.432122,CPTY_A
292,2027-04-30,14,77895.749177,77988.143504,0.000000,116427.589862,CPTY_A
293,2027-05-14,14,86068.829505,86412.479977,0.000000,107733.017838,CPTY_A
294,2027-05-28,14,65310.153756,66688.612652,0.000000,85721.316404,CPTY_A
295,2027-06-11,14,70228.782833,71913.968734,0.000000,144102.426987,CPTY_A
296,2027-06-25,14,84906.495266,85685.991518,0.000000,136523.129681,CPTY_A
297,2027-07-09,14,92693.447101,93053.282498,0.000000,79442.598178,CPTY_A
298,2027-07-23,14,97919.969001,97936.580574,0.000000,116318.653270,CPTY_A
299,2027-08-06,14,91151.681090,91153.016302,0.000000,107025.445848,CPTY_A
300,2027-08-20,14,92911.563002,92942.068255,-12592.437432,120587.665315,CPTY_A
301,2027-09-03,14,67582.605773,67902.047807,0.000000,91179.575276,CPTY_A
302,2027-09-17,14,86397.297975,86593.949122,0.000000,97214.737908,CPTY_A
303,2027-10-01,14,64178.862600,64804.934933,0.000000,70596.624466,CPTY_A
304,2027-10-15,14,77053.071817,77102.006023,0.000000,113312.280786,CPTY_A
305,2027-10-29,14,79106.951939,79112.416721,0.000000,134776.384460,CPTY_A
306,2027-11-12,14,86234.463641,87200.536361,0.000000,156523.558041,CPTY_A
307,2027-11-26,14,57069.313834,57135.001325,0.000000,80712.078621,CPTY_A
308,2027-12-10,19,70192.938647,70253.949800,0.000000,107566.650645,CPTY_A
309,2027-12-29,9,113740.817537,113943.681209,0.000000,175029.735667,CPTY_A
310,2028-01-07,14,78941.442921,79510.663401,0.000000,96850.974054,CPTY_A
311,2028-01-21,14,85204.078329,88752.477885,0.000000,57755.858648,CPTY_A
312,2028-02-04,14,93593.939417,93600.456497,0.000000,136742.323397,CPTY_A
313,2028-02-18,14,74426.810402,74493.376190,55954.796484,103696.542926,CPTY_A
314,2028-03-03,14,60735.640712,61282.427837,0.000000,93917.205074,CPTY_A
315,2028-03-17,14,96207.502115,96256.437156,0.000000,113311.471229,CPTY_A
316,2028-03-31,18,59897.323051,61062.785208,0.000000,80673.511407,CPTY_A
317,2028-04-18,10,88005.684148,88147.004804,0.000000,99845.469467,CPTY_A
318,2028-04-28,14,71089.402203,71892.076645,0.000000,81520.514344,CPTY_A
319,2028-05-12,14,63541.088381,64179.105717,0.000000,65220.364041,CPTY_A
320,2028-05-26,14,61483.881679,61527.056994,0.000000,91172.420451,CPTY_A
321,2028-06-09,14,60153.130036,60213.563140,0.000000,88908.421841,CPTY_A
322,2028-06-23,14,90071.287249,93241.303294,0.000000,123153.664703,CPTY_A
323,2028-07-07,14,66672.233604,66708.476599,0.000000,70803.830139,CPTY_A
324,2028-07-21,14,78237.183853,78936.563630,0.000000,81993.695306,CPTY_A
325,2028-08-04,14,87725.532955,87795.452095,0.000000,97892.112820,CPTY_A
326,2028-08-18,14,74253.766851,74271.150384,-12427.667646,165658.614449,CPTY_A
327,2028-09-01,14,92565.834006,92680.559756,0.000000,120651.520302,CPTY_A
328,2028-09-15,14,55034.180945,55282.823254,0.000000,89840.501456,CPTY_A
329,2028-09-29,14,59108.230934,59113.398090,0.000000,110965.353872,CPTY_A
330,2028-10-13,14,72595.369989,72607.784519,0.000000,80102.542717,CPTY_A
331,2028-10-27,17,45654.313347,45816.194063,0.000000,49328.737408,CPTY_A
332,2028-11-13,11,71031.642130,71091.374893,0.000000,94266.703094,CPTY_A
333,2028-11-24,14,65873.731842,65894.380110,0.000000,92476.079897,CPTY_A
334,2028-12-08,14,68780.583439,68970.858989,0.000000,145838.270061,CPTY_A
