#TradeId,Scenario Label,Up/Down,Base NPV,Scenario NPV,Sensitivity
FLOOR_USD,INDEX/USD-LIBOR-3M/0/6M,Up,29212.968476,29201.422082,-11.546394
FLOOR_USD,INDEX/USD-LIBOR-3M/1/1Y,Up,29212.968476,29202.775823,-10.192653
FLOOR_USD,INDEX/USD-LIBOR-3M/2/2Y,Up,29212.968476,29197.197593,-15.770883
FLOOR_USD,INDEX/USD-LIBOR-3M/3/3Y,Up,29212.968476,29197.187455,-15.781021
FLOOR_USD,INDEX/USD-LIBOR-3M/4/5Y,Up,29212.968476,29193.961142,-19.007334
FLOOR_USD,INDEX/USD-LIBOR-3M/5/7Y,Up,29212.968476,29182.243953,-30.724523
FLOOR_USD,INDEX/USD-LIBOR-3M/6/10Y,Up,29212.968476,29004.605819,-208.362657
FLOOR_USD,INDEX/USD-LIBOR-3M/7/15Y,Up,29212.968476,29212.291434,-0.677042
FXFWD_EURUSD_10Y,DISCOUNT/EUR/6/10Y,Up,183005.494365,182057.854133,-947.640232
FXFWD_EURUSD_10Y,DISCOUNT/EUR/7/15Y,Up,183005.494365,182986.555160,-18.939205
FXFWD_EURUSD_10Y,DISCOUNT/USD/6/10Y,Up,183005.494365,183772.475224,766.980859
FXFWD_EURUSD_10Y,DISCOUNT/USD/7/15Y,Up,183005.494365,183020.822975,15.328610
FXFWD_EURUSD_10Y,FXSPOT/USDEUR,Up,183005.494365,175236.082292,-7769.412073
FX_CALL_OPTION,DISCOUNT/EUR/6/10Y,Up,257284.919982,256565.354871,-719.565112
FX_CALL_OPTION,DISCOUNT/EUR/7/15Y,Up,257284.919982,257270.532412,-14.387571
FX_CALL_OPTION,DISCOUNT/USD/6/10Y,Up,257284.919982,257751.171720,466.251737
FX_CALL_OPTION,DISCOUNT/USD/7/15Y,Up,257284.919982,257294.231736,9.311754
FX_CALL_OPTION,FXOPTION/USDEUR/3/5Y,Up,257284.919982,258577.900939,1292.980957
FX_CALL_OPTION,FXSPOT/USDEUR,Up,257284.919982,252599.738612,-4685.181371
FX_CALL_OPTION_USDGBP,DISCOUNT/GBP/6/10Y,Up,362159.113939,361157.242979,-1001.870960
FX_CALL_OPTION_USDGBP,DISCOUNT/GBP/7/15Y,Up,362159.113939,362139.085215,-20.028723
FX_CALL_OPTION_USDGBP,DISCOUNT/USD/6/10Y,Up,362159.113939,362804.048175,644.934236
FX_CALL_OPTION_USDGBP,DISCOUNT/USD/7/15Y,Up,362159.113939,362171.997699,12.883761
FX_CALL_OPTION_USDGBP,FXOPTION/GBPUSD/3/5Y,Up,362159.113939,362761.792197,602.678258
FX_CALL_OPTION_USDGBP,FXSPOT/USDEUR,Up,362159.113939,365780.705078,3621.591139
FX_CALL_OPTION_USDGBP,FXSPOT/USDGBP,Up,362159.113939,352137.503633,-10021.610305
FX_PUT_OPTION,DISCOUNT/EUR/6/10Y,Up,74279.425617,74507.500737,228.075120
FX_PUT_OPTION,DISCOUNT/EUR/7/15Y,Up,74279.425617,74283.977251,4.551634
FX_PUT_OPTION,DISCOUNT/USD/6/10Y,Up,74279.425617,73978.696496,-300.729122
FX_PUT_OPTION,DISCOUNT/USD/7/15Y,Up,74279.425617,74273.408761,-6.016857
FX_PUT_OPTION,FXOPTION/USDEUR/3/5Y,Up,74279.425617,75572.406574,1292.980957
FX_PUT_OPTION,FXSPOT/USDEUR,Up,74279.425617,77363.656320,3084.230703
SWAPTION,DISCOUNT/EUR/6/10Y,Up,-3071740.215472,-3071656.263055,83.952417
SWAPTION,DISCOUNT/EUR/7/15Y,Up,-3071740.215472,-3070366.355212,1373.860260
SWAPTION,DISCOUNT/EUR/8/20Y,Up,-3071740.215472,-3067598.208621,4142.006851
SWAPTION,INDEX/EUR-EURIBOR-3M/6/10Y,Up,-3071740.215472,-3075612.999471,-3872.783999
SWAPTION,INDEX/EUR-EURIBOR-3M/7/15Y,Up,-3071740.215472,-3083582.975208,-11842.759736
SWAPTION,INDEX/EUR-EURIBOR-3M/8/20Y,Up,-3071740.215472,-3048238.190337,23502.025136
SWAPTION,SWAPTION/EUR/3/10Y/2/10Y,Up,-3071740.215472,-3075487.223288,-3747.007816
SWAP_EUR,DISCOUNT/EUR/0/6M,Up,-275899.786362,-275899.730602,0.055760
SWAP_EUR,DISCOUNT/EUR/1/1Y,Up,-275899.786362,-275910.099701,-10.313339
SWAP_EUR,DISCOUNT/EUR/2/2Y,Up,-275899.786362,-275920.474630,-20.688268
SWAP_EUR,DISCOUNT/EUR/3/3Y,Up,-275899.786362,-275934.393467,-34.607105
SWAP_EUR,DISCOUNT/EUR/4/5Y,Up,-275899.786362,-275939.110259,-39.323897
SWAP_EUR,DISCOUNT/EUR/5/7Y,Up,-275899.786362,-275862.794642,36.991720
SWAP_EUR,DISCOUNT/EUR/6/10Y,Up,-275899.786362,-275674.263613,225.522749
SWAP_EUR,DISCOUNT/EUR/7/15Y,Up,-275899.786362,-275478.278293,421.508069
SWAP_EUR,DISCOUNT/EUR/8/20Y,Up,-275899.786362,-275668.504519,231.281843
SWAP_EUR,INDEX/EUR-EURIBOR-6M/0/6M,Up,-275899.786362,-275888.141686,11.644675
SWAP_EUR,INDEX/EUR-EURIBOR-6M/1/1Y,Up,-275899.786362,-275896.975593,2.810768
SWAP_EUR,INDEX/EUR-EURIBOR-6M/2/2Y,Up,-275899.786362,-275893.205027,6.581334
SWAP_EUR,INDEX/EUR-EURIBOR-6M/3/3Y,Up,-275899.786362,-275893.937779,5.848583
SWAP_EUR,INDEX/EUR-EURIBOR-6M/4/5Y,Up,-275899.786362,-275927.616613,-27.830251
SWAP_EUR,INDEX/EUR-EURIBOR-6M/5/7Y,Up,-275899.786362,-276061.010553,-161.224192
SWAP_EUR,INDEX/EUR-EURIBOR-6M/6/10Y,Up,-275899.786362,-276431.277051,-531.490689
SWAP_EUR,INDEX/EUR-EURIBOR-6M/7/15Y,Up,-275899.786362,-276848.146342,-948.359980
SWAP_EUR,INDEX/EUR-EURIBOR-6M/8/20Y,Up,-275899.786362,-293249.983396,-17350.197034
CAP_EUR,CAPFLOOR/EUR/3/0.04/0/1Y,Down,-7215.869941,-7215.658185,0.211755
CAP_EUR,CAPFLOOR/EUR/3/0.04/1/2Y,Down,-7215.869941,-7213.697685,2.172256
CAP_EUR,CAPFLOOR/EUR/3/0.04/2/3Y,Down,-7215.869941,-7198.935348,16.934593
CAP_EUR,CAPFLOOR/EUR/3/0.04/3/5Y,Down,-7215.869941,-7158.376653,57.493288
CAP_EUR,CAPFLOOR/EUR/3/0.04/4/7Y,Down,-7215.869941,-7079.132761,136.737180
CAP_EUR,CAPFLOOR/EUR/3/0.04/5/10Y,Down,-7215.869941,-7134.963119,80.906821
CAP_EUR,DISCOUNT/EUR/1/1Y,Down,-7215.869941,-7215.869961,-0.000021
CAP_EUR,DISCOUNT/EUR/2/2Y,Down,-7215.869941,-7215.871840,-0.001899
CAP_EUR,DISCOUNT/EUR/3/3Y,Down,-7215.869941,-7215.924674,-0.054733
CAP_EUR,DISCOUNT/EUR/4/5Y,Down,-7215.869941,-7216.358680,-0.488739
CAP_EUR,DISCOUNT/EUR/5/7Y,Down,-7215.869941,-7218.088956,-2.219015
CAP_EUR,DISCOUNT/EUR/6/10Y,Down,-7215.869941,-7218.752456,-2.882516
CAP_EUR,DISCOUNT/EUR/7/15Y,Down,-7215.869941,-7215.872581,-0.002640
CAP_EUR,INDEX/EUR-EURIBOR-6M/0/6M,Down,-7215.869941,-7215.869984,-0.000043
CAP_EUR,INDEX/EUR-EURIBOR-6M/1/1Y,Down,-7215.869941,-7215.966021,-0.096080
CAP_EUR,INDEX/EUR-EURIBOR-6M/2/2Y,Down,-7215.869941,-7217.135745,-1.265804
CAP_EUR,INDEX/EUR-EURIBOR-6M/3/3Y,Down,-7215.869941,-7223.780899,-7.910958
CAP_EUR,INDEX/EUR-EURIBOR-6M/4/5Y,Down,-7215.869941,-7241.798436,-25.928495
CAP_EUR,INDEX/EUR-EURIBOR-6M/5/7Y,Down,-7215.869941,-7254.607082,-38.737141
CAP_EUR,INDEX/EUR-EURIBOR-6M/6/10Y,Down,-7215.869941,-7081.018538,134.851402
CAP_EUR,INDEX/EUR-EURIBOR-6M/7/15Y,Down,-7215.869941,-7215.427346,0.442595
CAP_USD,CAPFLOOR/USD/3/0.04/0/1Y,Down,-12694.908975,-12694.406147,0.502828
CAP_USD,CAPFLOOR/USD/3/0.04/1/2Y,Down,-12694.908975,-12688.670565,6.238410
CAP_USD,CAPFLOOR/USD/3/0.04/2/3Y,Down,-12694.908975,-12658.574223,36.334752
CAP_USD,CAPFLOOR/USD/3/0.04/3/5Y,Down,-12694.908975,-12611.847407,83.061568
CAP_USD,CAPFLOOR/USD/3/0.04/4/7Y,Down,-12694.908975,-12545.211664,149.697311
CAP_USD,CAPFLOOR/USD/3/0.04/5/10Y,Down,-12694.908975,-12601.034558,93.874417
CAP_USD,DISCOUNT/USD/1/1Y,Down,-12694.908975,-12694.909152,-0.000177
CAP_USD,DISCOUNT/USD/2/2Y,Down,-12694.908975,-12694.920969,-0.011994
CAP_USD,DISCOUNT/USD/3/3Y,Down,-12694.908975,-12695.150589,-0.241614
CAP_USD,DISCOUNT/USD/4/5Y,Down,-12694.908975,-12696.134779,-1.225804
CAP_USD,DISCOUNT/USD/5/7Y,Down,-12694.908975,-12698.558417,-3.649441
CAP_USD,DISCOUNT/USD/6/10Y,Down,-12694.908975,-12699.084390,-4.175415
CAP_USD,DISCOUNT/USD/7/15Y,Down,-12694.908975,-12694.911157,-0.002182
CAP_USD,FXSPOT/USDEUR,Down,-12694.908975,-12567.959885,126.949090
CAP_USD,INDEX/USD-LIBOR-3M/0/6M,Down,-12694.908975,-12694.910138,-0.001163
CAP_USD,INDEX/USD-LIBOR-3M/1/1Y,Down,-12694.908975,-12695.250484,-0.341509
CAP_USD,INDEX/USD-LIBOR-3M/2/2Y,Down,-12694.908975,-12700.305718,-5.396743
CAP_USD,INDEX/USD-LIBOR-3M/3/3Y,Down,-12694.908975,-12712.808767,-17.899792
CAP_USD,INDEX/USD-LIBOR-3M/4/5Y,Down,-12694.908975,-12720.438276,-25.529301
CAP_USD,INDEX/USD-LIBOR-3M/5/7Y,Down,-12694.908975,-12722.767677,-27.858702
CAP_USD,INDEX/USD-LIBOR-3M/6/10Y,Down,-12694.908975,-12522.341234,172.567741
CAP_USD,INDEX/USD-LIBOR-3M/7/15Y,Down,-12694.908975,-12694.330328,0.578647
CC_SWAP_EUR_USD,DISCOUNT/EUR/0/6M,Down,-21226633.935174,-21226667.551203,-33.616029
CC_SWAP_EUR_USD,DISCOUNT/EUR/1/1Y,Down,-21226633.935174,-21226731.271150,-97.335976
CC_SWAP_EUR_USD,DISCOUNT/EUR/2/2Y,Down,-21226633.935174,-21226897.410821,-263.475647
CC_SWAP_EUR_USD,DISCOUNT/EUR/3/3Y,Down,-21226633.935174,-21227334.737583,-700.802409
