#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,All,DeltaGamma,2019-12-06,2019-12-20,-51952.813192
All,All,DeltaGamma,2019-12-09,2019-12-23,-54649.539010
All,All,DeltaGamma,2019-12-10,2019-12-24,20552.238196
All,All,DeltaGamma,2019-12-12,2019-12-27,-108527.236524
All,All,DeltaGamma,2019-12-13,2019-12-30,-203000.526464
All,InterestRate,All,2016-12-30,2017-01-17,-12487.538707
All,InterestRate,All,2017-01-03,2017-01-18,-23124.971219
All,InterestRate,All,2017-01-04,2017-01-19,-26540.187174
All,InterestRate,All,2017-01-05,2017-01-20,15349.532741
All,InterestRate,All,2017-01-06,2017-01-23,2276.692206
All,InterestRate,All,2017-01-09,2017-01-24,10462.212072
All,InterestRate,All,2017-01-10,2017-01-25,26221.050177
All,InterestRate,All,2017-01-11,2017-01-26,7968.713076
All,InterestRate,All,2017-01-12,2017-01-27,22654.752794
All,InterestRate,All,2017-01-13,2017-01-30,1987.754744
All,InterestRate,All,2017-01-17,2017-01-31,66437.375686
All,InterestRate,All,2017-01-18,2017-02-01,37682.422681
All,InterestRate,All,2017-01-19,2017-02-02,40806.622291
All,InterestRate,All,2017-01-20,2017-02-03,35323.741963
All,InterestRate,All,2017-01-23,2017-02-06,43586.872212
All,InterestRate,All,2017-01-24,2017-02-07,21837.625045
All,InterestRate,All,2017-01-25,2017-02-08,6730.669283
All,InterestRate,All,2017-01-26,2017-02-09,24933.027646
All,InterestRate,All,2017-01-27,2017-02-10,10500.927282
All,InterestRate,All,2017-01-30,2017-02-13,12412.872946
All,InterestRate,All,2017-01-31,2017-02-14,-1144.822562
All,InterestRate,All,2017-02-01,2017-02-15,23488.471982
All,InterestRate,All,2017-02-02,2017-02-16,20959.781883
All,InterestRate,All,2017-02-03,2017-02-17,-10039.040477
All,InterestRate,All,2017-02-06,2017-02-21,1582.037854
All,InterestRate,All,2017-02-07,2017-02-22,177.327256
All,InterestRate,All,2017-02-08,2017-02-23,15684.577086
All,InterestRate,All,2017-02-09,2017-02-24,-6882.992986
All,InterestRate,All,2017-02-10,2017-02-27,31557.058798
All,InterestRate,All,2017-02-13,2017-02-28,43215.115002
All,InterestRate,All,2017-02-14,2017-03-01,60595.393241
All,InterestRate,All,2017-02-15,2017-03-02,111252.751689
All,InterestRate,All,2017-02-16,2017-03-03,101513.114000
All,InterestRate,All,2017-02-17,2017-03-06,98120.839672
All,InterestRate,All,2017-02-21,2017-03-07,107908.892880
All,InterestRate,All,2017-02-22,2017-03-08,117893.480500
All,InterestRate,All,2017-02-23,2017-03-09,113647.643816
All,InterestRate,All,2017-02-24,2017-03-10,143803.209500
All,InterestRate,All,2017-02-27,2017-03-13,126911.546550
All,InterestRate,All,2017-02-28,2017-03-14,78732.457448
All,InterestRate,All,2017-03-01,2017-03-15,95059.780703
All,InterestRate,All,2017-03-02,2017-03-16,-47596.675339
All,InterestRate,All,2017-03-03,2017-03-17,-55880.529960
All,InterestRate,All,2017-03-06,2017-03-20,-44509.146412
All,InterestRate,All,2017-03-07,2017-03-21,-43141.809141
All,InterestRate,All,2017-03-08,2017-03-22,-20181.121960
All,InterestRate,All,2017-03-09,2017-03-23,-32441.620412
All,InterestRate,All,2017-03-10,2017-03-24,-59223.606413
All,InterestRate,All,2017-03-13,2017-03-27,-18047.116701
All,InterestRate,All,2017-03-14,2017-03-28,18817.921272
All,InterestRate,All,2017-03-15,2017-03-29,-17935.867635
All,InterestRate,All,2017-03-16,2017-03-30,59822.010405
All,InterestRate,All,2017-03-17,2017-03-31,69310.395188
All,InterestRate,All,2017-03-20,2017-04-03,68782.730476
All,InterestRate,All,2017-03-21,2017-04-04,84287.513955
All,InterestRate,All,2017-03-22,2017-04-05,81688.252426
All,InterestRate,All,2017-03-23,2017-04-06,100743.524056
All,InterestRate,All,2017-03-24,2017-04-07,64520.877530
All,InterestRate,All,2017-03-27,2017-04-10,-5410.496261
All,InterestRate,All,2017-03-28,2017-04-11,718.606044
