#RiskFactor1,RiskFactor2,Correlation
"DiscountCurve/JPY/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.097247
"DiscountCurve/JPY/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.141977
"DiscountCurve/JPY/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.155474
"DiscountCurve/JPY/7","OptionletVolatility/EUR-EURIBOR-6M/45",-0.030950
"DiscountCurve/JPY/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.086109
"DiscountCurve/JPY/7","OptionletVolatility/EUR-EURIBOR-6M/47",-0.051743
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/63",-0.020237
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/64",-0.031992
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/65",-0.060194
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/66",-0.105691
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/67",-0.134889
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.134597
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.127660
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.121510
"DiscountCurve/JPY/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.105481
"DiscountCurve/JPY/7","FXSpot/DKKEUR/0",-0.107441
"DiscountCurve/JPY/7","FXSpot/JPYEUR/0",-0.314249
"DiscountCurve/JPY/7","FXSpot/NOKEUR/0",0.059127
"DiscountCurve/JPY/7","FXSpot/SEKEUR/0",0.163176
"DiscountCurve/JPY/7","FXSpot/TWDEUR/0",-0.052935
"DiscountCurve/JPY/7","FXSpot/USDEUR/0",-0.193212
"DiscountCurve/JPY/7","FXVolatility/EURUSD/7",-0.208052
"DiscountCurve/JPY/7","FXVolatility/NOKSEK/7",-0.196418
"DiscountCurve/JPY/7","FXVolatility/USDJPY/7",-0.203800
"DiscountCurve/JPY/7","EquitySpot/RIC:.SPX/0",0.159254
"DiscountCurve/JPY/7","EquitySpot/RIC:FISV.OQ/0",-0.143112
"DiscountCurve/JPY/7","EquitySpot/RIC:KSS.N/0",0.186336
"DiscountCurve/JPY/7","EquitySpot/RIC:LHAG.DE/0",0.245669
"DiscountCurve/JPY/7","EquityVolatility/RIC:.SPX/7",-0.111296
