#Key,Factor,BaseValue,ShiftSize
IndexCurve/GBP-LIBOR-3M/0,IndexCurve/GBP-LIBOR-3M/0/2W,0.00594868,0.00010000
IndexCurve/GBP-LIBOR-3M/1,IndexCurve/GBP-LIBOR-3M/1/1M,0.00592951,0.00010000
IndexCurve/GBP-LIBOR-3M/2,IndexCurve/GBP-LIBOR-3M/2/3M,0.00671344,0.00010000
IndexCurve/GBP-LIBOR-3M/3,IndexCurve/GBP-LIBOR-3M/3/6M,0.00721968,0.00010000
IndexCurve/GBP-LIBOR-3M/4,IndexCurve/GBP-LIBOR-3M/4/9M,0.00738835,0.00010000
IndexCurve/GBP-LIBOR-3M/5,IndexCurve/GBP-LIBOR-3M/5/1Y,0.00746932,0.00010000
IndexCurve/GBP-LIBOR-3M/6,IndexCurve/GBP-LIBOR-3M/6/2Y,0.00714543,0.00010000
IndexCurve/GBP-LIBOR-3M/7,IndexCurve/GBP-LIBOR-3M/7/3Y,0.00760734,0.00010000
IndexCurve/GBP-LIBOR-3M/8,IndexCurve/GBP-LIBOR-3M/8/4Y,0.00818656,0.00010000
IndexCurve/GBP-LIBOR-3M/9,IndexCurve/GBP-LIBOR-3M/9/5Y,0.00911584,0.00010000
IndexCurve/GBP-LIBOR-3M/10,IndexCurve/GBP-LIBOR-3M/10/7Y,0.01092968,0.00010000
IndexCurve/GBP-LIBOR-3M/11,IndexCurve/GBP-LIBOR-3M/11/10Y,0.01370110,0.00010000
IndexCurve/GBP-LIBOR-3M/12,IndexCurve/GBP-LIBOR-3M/12/15Y,0.01586324,0.00010000
IndexCurve/GBP-LIBOR-3M/13,IndexCurve/GBP-LIBOR-3M/13/20Y,0.01684198,0.00010000
IndexCurve/GBP-LIBOR-3M/14,IndexCurve/GBP-LIBOR-3M/14/25Y,0.01681569,0.00010000
IndexCurve/GBP-LIBOR-3M/15,IndexCurve/GBP-LIBOR-3M/15/30Y,0.01679817,0.00010000
IndexCurve/GBP-LIBOR-6M/0,IndexCurve/GBP-LIBOR-6M/0/2W,0.00594868,0.00010000
IndexCurve/GBP-LIBOR-6M/1,IndexCurve/GBP-LIBOR-6M/1/1M,0.00592951,0.00010000
IndexCurve/GBP-LIBOR-6M/2,IndexCurve/GBP-LIBOR-6M/2/3M,0.00671344,0.00010000
IndexCurve/GBP-LIBOR-6M/3,IndexCurve/GBP-LIBOR-6M/3/6M,0.00892611,0.00010000
IndexCurve/GBP-LIBOR-6M/4,IndexCurve/GBP-LIBOR-6M/4/9M,0.00778897,0.00010000
IndexCurve/GBP-LIBOR-6M/5,IndexCurve/GBP-LIBOR-6M/5/1Y,0.00855001,0.00010000
IndexCurve/GBP-LIBOR-6M/6,IndexCurve/GBP-LIBOR-6M/6/2Y,0.00824794,0.00010000
