#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,InitialMargin,AverageFLOW,SimpleDIM,NettingSet,Time
117,2020-08-14,14,1517490.877489,1512802.334772,0.000000,1481100.872681,CPTY_A,4.521858
118,2020-08-28,14,1557226.406720,1553260.860131,0.000000,1480808.731750,CPTY_A,4.560109
119,2020-09-11,14,1399204.213501,1389977.561666,0.000000,1470563.799631,CPTY_A,4.598361
120,2020-09-25,14,1488039.983604,1478166.670497,0.000000,1405210.145759,CPTY_A,4.636612
121,2020-10-09,14,1515588.751719,1485825.247019,0.000000,1599391.607265,CPTY_A,4.674863
122,2020-10-23,14,1448402.366900,1441566.180471,0.000000,1476525.384639,CPTY_A,4.713115
123,2020-11-06,14,1504056.565292,1495790.383188,0.000000,1409137.643073,CPTY_A,4.751366
124,2020-11-20,14,1483090.440895,1452935.697179,0.000000,1683165.072866,CPTY_A,4.789617
125,2020-12-04,14,1430322.499988,1420524.485471,0.000000,1480100.889052,CPTY_A,4.827869
126,2020-12-18,17,1455350.143357,1433284.394247,0.000000,1489879.306915,CPTY_A,4.866120
127,2021-01-04,11,1483524.587631,1468326.859271,0.000000,1492771.066904,CPTY_A,4.912591
128,2021-01-15,14,1404433.885460,1404361.750842,0.000000,1347319.447575,CPTY_A,4.942728
129,2021-01-29,14,1413348.660974,1401488.356411,0.000000,1304500.840824,CPTY_A,4.981084
130,2021-02-12,14,1380747.604592,1372696.463819,0.000000,1433363.366627,CPTY_A,5.019440
131,2021-02-26,14,1381298.055626,1369465.551282,0.000000,1548250.046356,CPTY_A,5.057796
132,2021-03-12,14,1298513.668819,1290487.508660,0.000000,1376498.669665,CPTY_A,5.096152
133,2021-03-26,14,1313047.589533,1305883.904553,0.000000,1533277.552121,CPTY_A,5.134509
134,2021-04-09,14,1233966.924600,1231403.015914,0.000000,1143383.628469,CPTY_A,5.172865
135,2021-04-23,14,1304672.185940,1297494.656807,0.000000,1293404.118768,CPTY_A,5.211221
136,2021-05-07,14,1336708.448295,1329547.754298,0.000000,1273337.834088,CPTY_A,5.249577
137,2021-05-21,14,1306451.014861,1307015.856115,0.000000,1237612.665772,CPTY_A,5.287933
138,2021-06-04,14,1273496.072565,1264955.126335,0.000000,1399712.005083,CPTY_A,5.326289
139,2021-06-18,14,1245259.307980,1229028.743271,0.000000,1215163.940157,CPTY_A,5.364646
140,2021-07-02,14,1270620.391244,1262412.821793,0.000000,1424072.141936,CPTY_A,5.403002
141,2021-07-16,14,1228597.312589,1219216.832603,0.000000,1231923.482617,CPTY_A,5.441358
142,2021-07-30,14,1200640.012830,1187335.673393,0.000000,1255558.425011,CPTY_A,5.479714
143,2021-08-13,14,1221462.264771,1214074.670022,0.000000,1130563.124276,CPTY_A,5.518070
144,2021-08-27,14,1274253.690603,1226256.253251,0.000000,1306862.897005,CPTY_A,5.556426
145,2021-09-10,14,1133400.605394,1124944.929882,0.000000,1154482.109943,CPTY_A,5.594783
146,2021-09-24,14,1176626.682844,1161599.582763,0.000000,1243895.618618,CPTY_A,5.633139
147,2021-10-08,14,1147975.141259,1147134.339606,0.000000,1118550.352540,CPTY_A,5.671495
148,2021-10-22,14,1138442.682706,1130836.708497,0.000000,1285276.228659,CPTY_A,5.709851
149,2021-11-05,14,1138822.882701,1111041.429590,0.000000,1102413.426512,CPTY_A,5.748207
150,2021-11-19,14,1108983.794415,1104255.537622,0.000000,1164940.571503,CPTY_A,5.786563
151,2021-12-03,14,1131123.442160,1104369.485930,0.000000,1164089.301437,CPTY_A,5.824920
152,2021-12-17,18,1127298.980408,1117110.684224,0.000000,1231705.413340,CPTY_A,5.863276
153,2022-01-04,10,1121501.028419,1113939.049744,0.000000,1260555.212223,CPTY_A,5.912591
154,2022-01-14,14,1136145.482323,1127643.169000,0.000000,1193500.828846,CPTY_A,5.939988
155,2022-01-28,14,1111593.306108,1105866.535811,0.000000,1099179.413372,CPTY_A,5.978344
156,2022-02-11,14,1087715.120435,1086080.058621,0.000000,1201038.646506,CPTY_A,6.016700
157,2022-02-25,14,1114029.170738,1105057.166237,0.000000,1130944.370046,CPTY_A,6.055057
158,2022-03-11,14,1019126.335331,1013082.688167,0.000000,999164.443727,CPTY_A,6.093413
159,2022-03-25,14,975103.679878,971453.304347,0.000000,1002840.246563,CPTY_A,6.131769
160,2022-04-08,14,1018882.001593,1008401.235175,0.000000,1095941.505214,CPTY_A,6.170125
161,2022-04-22,14,1023680.893226,976233.399182,0.000000,1074866.974901,CPTY_A,6.208481
162,2022-05-06,14,999426.676145,985970.758182,0.000000,984200.366522,CPTY_A,6.246837
163,2022-05-20,18,991790.780126,989508.990880,0.000000,981389.039305,CPTY_A,6.285194
164,2022-06-07,10,921141.199263,914742.106331,0.000000,932823.545599,CPTY_A,6.334509
165,2022-06-17,14,1007541.391573,992979.034863,0.000000,1071736.114277,CPTY_A,6.361906
166,2022-07-01,14,954448.657261,955765.488217,0.000000,953042.737838,CPTY_A,6.400262
167,2022-07-15,14,989498.322625,970831.001203,0.000000,1027372.210335,CPTY_A,6.438618
168,2022-07-29,14,974373.045785,969168.569939,0.000000,1043312.229166,CPTY_A,6.476974
169,2022-08-12,14,967651.030380,958235.458869,0.000000,1003649.398942,CPTY_A,6.515330
170,2022-08-26,14,981116.600071,956062.869147,0.000000,1003862.991143,CPTY_A,6.553687
171,2022-09-09,14,879254.334131,879544.038560,0.000000,874826.086336,CPTY_A,6.592043
172,2022-09-23,14,867504.749332,853004.639188,0.000000,905654.300121,CPTY_A,6.630399
173,2022-10-07,14,866257.000280,861350.016915,0.000000,893890.283547,CPTY_A,6.668755
174,2022-10-21,14,862127.112084,850388.601439,0.000000,928940.624250,CPTY_A,6.707111
175,2022-11-04,14,838032.694587,828267.901453,0.000000,779141.962652,CPTY_A,6.745467
176,2022-11-18,14,825224.370975,817294.868244,0.000000,881364.859633,CPTY_A,6.783824
177,2022-12-02,14,814061.113314,797889.351764,0.000000,855260.089492,CPTY_A,6.822180
178,2022-12-16,14,850078.123876,838008.384387,0.000000,900421.897553,CPTY_A,6.860536
179,2022-12-30,14,850047.374226,838982.852060,0.000000,824489.528329,CPTY_A,6.898892
180,2023-01-13,14,828431.562260,820242.489176,0.000000,924913.862012,CPTY_A,6.937248
181,2023-01-27,14,825374.705962,812397.521775,0.000000,872534.698913,CPTY_A,6.975604
182,2023-02-10,14,887008.875816,864429.432317,0.000000,1010265.293200,CPTY_A,7.013961
183,2023-02-24,14,914894.432415,882131.341625,0.000000,1020554.480745,CPTY_A,7.052317
184,2023-03-10,14,814321.954159,799494.214035,0.000000,830975.160353,CPTY_A,7.090673
185,2023-03-24,18,792904.777751,779607.920140,0.000000,866770.853720,CPTY_A,7.129029
186,2023-04-11,10,819137.833103,772960.641271,0.000000,919243.096948,CPTY_A,7.178344
187,2023-04-21,14,801605.359327,781316.738558,0.000000,813332.736991,CPTY_A,7.205741
188,2023-05-05,14,810760.699968,799220.935996,0.000000,784499.830786,CPTY_A,7.244098
189,2023-05-19,14,806419.864042,784166.954692,0.000000,899612.472154,CPTY_A,7.282454
190,2023-06-02,14,771104.827860,766361.881896,0.000000,798371.017667,CPTY_A,7.320810
191,2023-06-16,14,813620.106967,784321.241329,0.000000,815300.977870,CPTY_A,7.359166
192,2023-06-30,14,788868.265782,752466.016990,0.000000,769652.802061,CPTY_A,7.397522
193,2023-07-14,14,788505.959653,778489.856052,0.000000,795387.542015,CPTY_A,7.435878
194,2023-07-28,14,764817.402694,742574.573202,0.000000,778244.085722,CPTY_A,7.474235
195,2023-08-11,14,797962.186783,760425.604671,0.000000,850480.941997,CPTY_A,7.512591
196,2023-08-25,14,792300.073818,748350.937135,0.000000,844783.429580,CPTY_A,7.550947
197,2023-09-08,14,661720.626899,648398.574466,0.000000,687154.309057,CPTY_A,7.589303
198,2023-09-22,14,684881.642787,672244.799372,0.000000,796931.756594,CPTY_A,7.627659
199,2023-10-06,14,704595.015329,692176.656302,0.000000,706862.885664,CPTY_A,7.666015
200,2023-10-20,14,700475.538547,685073.257907,0.000000,794929.967581,CPTY_A,7.704372
201,2023-11-03,14,655488.211548,634749.442756,0.000000,760509.155673,CPTY_A,7.742728
202,2023-11-17,14,693829.415335,635809.811821,0.000000,710602.889679,CPTY_A,7.781084
203,2023-12-01,14,662875.870004,647383.044685,0.000000,735900.240575,CPTY_A,7.819440
204,2023-12-15,14,663695.132600,641620.648782,0.000000,688958.126272,CPTY_A,7.857796
205,2023-12-29,14,681900.242603,659711.893853,0.000000,738727.641420,CPTY_A,7.896152
206,2024-01-12,14,657907.974303,615146.804440,0.000000,646693.352741,CPTY_A,7.934426
207,2024-01-26,14,645486.763636,638193.361469,0.000000,705069.577410,CPTY_A,7.972678
208,2024-02-09,14,647004.020571,631093.566084,0.000000,685874.618617,CPTY_A,8.010929
209,2024-02-23,14,644373.373384,625222.099723,0.000000,648790.521832,CPTY_A,8.049180
210,2024-03-08,14,545374.138045,521413.997159,0.000000,559886.591100,CPTY_A,8.087432
211,2024-03-22,14,570008.802198,546898.948725,0.000000,603776.867496,CPTY_A,8.125683
212,2024-04-05,14,542978.608615,520490.705630,0.000000,567448.411366,CPTY_A,8.163934
213,2024-04-19,14,555452.198877,519679.077621,0.000000,523579.420600,CPTY_A,8.202186
214,2024-05-03,14,531393.438143,522353.948569,0.000000,582005.033061,CPTY_A,8.240437
215,2024-05-17,14,543174.356360,534783.122521,0.000000,562526.599047,CPTY_A,8.278689
216,2024-05-31,14,532719.309114,517296.811745,0.000000,539262.366571,CPTY_A,8.316940
217,2024-06-14,14,546417.956662,531685.810249,0.000000,581200.001403,CPTY_A,8.355191
218,2024-06-28,14,541300.655439,519848.900831,0.000000,575105.383923,CPTY_A,8.393443
219,2024-07-12,14,520499.714140,514017.767203,0.000000,544197.347392,CPTY_A,8.431694
220,2024-07-26,14,545498.854057,524580.694531,0.000000,633939.512316,CPTY_A,8.469945
221,2024-08-09,14,536731.489653,522705.003504,0.000000,600303.307459,CPTY_A,8.508197
222,2024-08-23,14,563170.254230,531068.060152,0.000000,632069.227728,CPTY_A,8.546448
223,2024-09-06,14,455279.777877,418022.057528,0.000000,458459.515771,CPTY_A,8.584699
224,2024-09-20,14,441158.088598,429420.069461,0.000000,412042.026978,CPTY_A,8.622951
225,2024-10-04,14,441892.337934,423534.997488,0.000000,447042.760938,CPTY_A,8.661202
226,2024-10-18,14,437765.274760,415343.963307,0.000000,489417.968122,CPTY_A,8.699454
227,2024-11-01,14,445939.266794,415531.850236,0.000000,521267.739331,CPTY_A,8.737705
228,2024-11-15,14,433321.191111,423169.866562,0.000000,488096.232018,CPTY_A,8.775956
229,2024-11-29,14,426522.632500,414567.172602,0.000000,460528.120934,CPTY_A,8.814208
230,2024-12-13,14,433286.341016,417490.274904,0.000000,491547.800286,CPTY_A,8.852459
231,2024-12-27,14,434011.366800,424279.173331,0.000000,523398.457187,CPTY_A,8.890710
232,2025-01-10,14,438685.504989,421693.560245,0.000000,466032.857241,CPTY_A,8.929029
233,2025-01-24,14,439289.000491,428622.948169,0.000000,457845.474845,CPTY_A,8.967385
234,2025-02-07,14,466458.257677,445420.277972,0.000000,500927.614914,CPTY_A,9.005741
235,2025-02-21,14,419075.296779,404422.157431,0.000000,495355.729670,CPTY_A,9.044098
236,2025-03-07,14,337305.627223,314137.162155,0.000000,400668.232846,CPTY_A,9.082454
237,2025-03-21,14,341037.689580,314906.313749,0.000000,329095.218333,CPTY_A,9.120810
238,2025-04-04,18,324378.792897,316125.155859,0.000000,368331.052645,CPTY_A,9.159166
239,2025-04-22,10,317789.805108,305760.877654,0.000000,368913.440991,CPTY_A,9.208481
240,2025-05-02,14,321998.398235,309293.849529,0.000000,415467.750535,CPTY_A,9.235878
241,2025-05-16,14,314303.310626,300766.008096,0.000000,314982.303318,CPTY_A,9.274235
242,2025-05-30,14,343205.589096,327394.777403,0.000000,370772.881355,CPTY_A,9.312591
243,2025-06-13,14,333106.687294,309303.542499,0.000000,353888.581315,CPTY_A,9.350947
244,2025-06-27,14,330743.415735,322944.567531,0.000000,366919.973114,CPTY_A,9.389303
245,2025-07-11,14,334058.564621,317272.216122,0.000000,358755.476679,CPTY_A,9.427659
246,2025-07-25,14,327883.187774,320932.285239,0.000000,345358.657772,CPTY_A,9.466015
247,2025-08-08,14,326077.661566,314061.558452,0.000000,368166.759023,CPTY_A,9.504372
248,2025-08-22,14,352882.919415,334608.475893,0.000000,410884.304882,CPTY_A,9.542728
249,2025-09-05,14,322615.355392,308816.878379,0.000000,345482.552955,CPTY_A,9.581084
250,2025-09-19,14,220337.193946,209728.744231,0.000000,230503.455271,CPTY_A,9.619440
251,2025-10-03,14,217462.755534,214398.153722,0.000000,213523.598583,CPTY_A,9.657796
252,2025-10-17,14,228129.272556,216769.321462,0.000000,261926.032773,CPTY_A,9.696152
253,2025-10-31,14,226734.830022,215281.586474,0.000000,228867.084294,CPTY_A,9.734509
254,2025-11-14,14,223943.652904,212829.165938,0.000000,261124.170712,CPTY_A,9.772865
255,2025-11-28,14,217046.776661,212114.114232,0.000000,238790.370557,CPTY_A,9.811221
256,2025-12-12,17,223925.039963,212043.958487,0.000000,282166.691312,CPTY_A,9.849577
257,2025-12-29,11,220970.616567,213705.458712,0.000000,248181.569406,CPTY_A,9.896152
258,2026-01-09,14,222546.735397,213767.536347,0.000000,254202.322758,CPTY_A,9.926289
259,2026-01-23,14,225801.063396,215693.360472,0.000000,247374.736767,CPTY_A,9.964646
260,2026-02-06,14,215880.110928,210351.403520,0.000000,228483.101286,CPTY_A,10.003002
261,2026-02-20,14,203074.132940,199070.963527,0.000000,217202.206304,CPTY_A,10.041358
262,2026-03-06,14,112693.864428,106618.817322,0.000000,124347.369812,CPTY_A,10.079714
263,2026-03-20,18,113698.936710,109108.990044,0.000000,143284.331721,CPTY_A,10.118070
264,2026-04-07,10,110767.842111,104841.509489,0.000000,117732.596338,CPTY_A,10.167385
265,2026-04-17,18,111989.606697,109174.652876,0.000000,148160.547335,CPTY_A,10.194783
266,2026-05-05,10,109322.903223,102972.845233,0.000000,141174.895555,CPTY_A,10.244098
267,2026-05-15,14,113774.906436,113226.824900,0.000000,131881.913692,CPTY_A,10.271495
268,2026-05-29,14,107822.852604,100510.899959,0.000000,120749.451286,CPTY_A,10.309851
269,2026-06-12,14,113688.532581,111985.486585,0.000000,135986.532537,CPTY_A,10.348207
270,2026-06-26,14,107997.813084,106547.892347,0.000000,116183.164008,CPTY_A,10.386563
271,2026-07-10,14,111819.089252,107851.253128,0.000000,131418.949092,CPTY_A,10.424920
272,2026-07-24,14,109763.353776,107493.967808,0.000000,135419.341989,CPTY_A,10.463276
273,2026-08-07,14,123038.970529,120687.162685,0.000000,116119.151648,CPTY_A,10.501632
274,2026-08-21,14,118922.235789,118856.320828,0.000000,130134.371279,CPTY_A,10.539988
275,2026-09-04,14,115781.761216,114554.275822,0.000000,125136.870363,CPTY_A,10.578344
276,2026-09-18,14,30678.060661,29070.139037,0.000000,45365.830319,CPTY_A,10.616700
277,2026-10-02,14,29633.930333,29062.557075,0.000000,35714.287589,CPTY_A,10.655057
278,2026-10-16,14,30528.020698,30549.642059,0.000000,32732.901684,CPTY_A,10.693413
279,2026-10-30,14,29940.531431,28780.831309,0.000000,32568.180740,CPTY_A,10.731769
280,2026-11-13,14,31509.211360,30868.070487,0.000000,39499.937914,CPTY_A,10.770125
281,2026-11-27,14,29777.294999,29104.355733,0.000000,37574.293639,CPTY_A,10.808481
282,2026-12-11,18,31502.495347,30724.568360,0.000000,34904.480367,CPTY_A,10.846837
283,2026-12-29,10,31165.309383,30073.153795,0.000000,45306.768838,CPTY_A,10.896152
284,2027-01-08,14,32714.804549,31799.540901,0.000000,37743.559371,CPTY_A,10.923550
285,2027-01-22,14,29988.532651,29778.086961,0.000000,33504.041909,CPTY_A,10.961906
286,2027-02-05,14,30599.244734,30665.425964,0.000000,38905.932824,CPTY_A,11.000262
287,2027-02-19,14,28996.851027,29048.714371,0.000000,38628.117845,CPTY_A,11.038618
