#Date,EPE,ENE
2027-08-06,1048770.1724,600195.8993
2027-08-20,1055333.9050,606759.6319
2027-09-03,1056073.8136,607499.5405
2027-09-17,1058364.0242,609789.7511
2027-10-01,1055291.6402,606717.3671
2027-10-15,1046418.3068,597844.0337
2027-10-29,939877.2694,610462.0687
2027-11-12,944573.7619,615158.5612
2027-11-26,936091.8000,606676.5993
2027-12-10,937318.7637,607903.5630
2027-12-29,955355.5018,625940.3011
2028-01-07,958795.4741,629380.2733
2028-01-21,962385.3936,632970.1929
2028-02-04,959640.4839,630225.2832
2028-02-18,952914.0947,623498.8940
2028-03-03,968355.2208,638940.0201
2028-03-17,967764.4785,638349.2778
2028-03-31,975214.5108,645799.3100
2028-04-18,972403.4637,642988.2630
2028-04-28,967849.7703,569002.3063
2028-05-12,973208.2132,574360.7493
2028-05-26,974142.8725,575295.4086
2028-06-09,976261.9564,577414.4925
2028-06-23,977769.6839,578922.2200
2028-07-07,977311.2318,578463.7679
2028-07-21,976433.7455,577586.2815
2028-08-04,976573.2030,577725.7390
2028-08-18,971494.1433,572646.6793
2028-09-01,974582.0987,575734.6348
2028-09-15,975845.2904,576997.8264
2028-09-29,979170.4818,580323.0179
2028-10-13,982443.6019,583596.1380
2028-10-27,981603.0807,582755.6167
2028-11-13,871061.7608,583304.6195
2028-11-24,873732.5467,585975.4053
2028-12-08,877951.1190,590193.9776
2028-12-22,879644.6124,591887.4710
2029-01-05,880162.2057,592405.0643
2029-01-19,880348.5247,592591.3833
2029-02-02,882550.3404,594793.1991
2029-02-16,883226.1830,595469.0416
2029-03-02,881875.4525,594118.3111
2029-03-16,882796.3018,595039.1604
2029-04-03,876810.1281,589052.9867
2029-04-13,879288.4339,591531.2926
2029-04-27,880246.6608,592489.5195
2029-05-11,868275.2859,508247.1225
2029-05-25,864292.1292,504263.9659
2029-06-08,864897.5570,504869.3937
2029-06-22,863504.2100,503476.0466
2029-07-06,864010.9310,503982.7676
2029-07-20,860907.9706,500879.8073
2029-08-03,859121.8262,499093.6628
2029-08-17,859818.3424,499790.1790
2029-08-31,862399.8396,502371.6762
2029-09-14,860953.1728,500925.0094
2029-09-28,861098.4094,501070.2460
2029-10-12,860132.5617,500104.3984
2029-10-26,861387.9737,501359.8104
2029-11-09,745451.9814,493326.9620
2029-11-23,744460.3914,492335.3719
2029-12-07,744514.4469,492389.4275
2029-12-21,743033.9919,490908.9725
2030-01-04,742545.5937,490420.5743
2030-01-18,743606.9885,491481.9691
2030-02-01,744687.4083,492562.3889
2030-02-15,746301.0943,494176.0749
2030-03-01,748075.1313,495950.1119
2030-03-15,748073.9806,495948.9612
2030-03-29,746957.5217,494832.5023
2030-04-12,747545.6708,495420.6514
2030-04-26,747707.1620,495582.1425
2030-05-10,736306.4227,412910.1039
2030-05-24,737843.9459,414447.6272
2030-06-07,739313.9805,415917.6618
2030-06-21,738016.6416,414620.3228
2030-07-05,738372.8249,414976.5061
2030-07-19,738065.7139,414669.3952
2030-08-02,739248.4833,415852.1646
2030-08-16,739185.2212,415788.9025
2030-08-30,741171.5725,417775.2538
2030-09-13,741126.6851,417730.3664
2030-09-27,743294.0204,419897.7017
2030-10-11,739992.3115,416595.9928
2030-10-25,738137.5484,414741.2297
2030-11-08,630094.7925,413397.2006
2030-11-22,630731.1823,414033.5904
2030-12-06,630191.5159,413493.9240
2030-12-20,631559.0298,414861.4379
2031-01-03,632021.0953,415323.5034
2031-01-17,629724.4034,413026.8115
2031-01-31,630170.0801,413472.4882
2031-02-14,629296.0522,412598.4603
2031-02-28,632390.6085,415693.0166
2031-03-14,632120.2231,415422.6312
2031-03-28,630086.2682,413388.6763
2031-04-15,632111.7163,415414.1244
2031-04-25,631015.3924,414317.8005
2031-05-09,622191.2699,336171.2387
2031-05-23,619519.2456,333499.2145
2031-06-06,620934.8667,334914.8356
2031-06-20,622139.2481,336119.2169
2031-07-07,622876.3844,336856.3532
2031-07-18,623500.8982,337480.8670
2031-08-04,623004.3004,336984.2692
2031-08-15,619282.7420,333262.7109
2031-08-29,619770.7574,333750.7262
2031-09-12,625056.1320,339036.1009
2031-09-26,626931.6179,340911.5868
2031-10-10,628197.6605,342177.6294
2031-10-24,627767.0698,341747.0387
2031-11-07,517875.6576,341801.6948
2031-11-21,519094.2678,343020.3050
2031-12-05,521668.5836,345594.6208
2031-12-19,523120.9714,347047.0086
2032-01-05,523988.2488,347914.2859
2032-01-16,524614.2397,348540.2769
2032-01-30,525081.7007,349007.7379
2032-02-13,523683.2839,347609.3211
2032-02-27,521425.0189,345351.0561
2032-03-12,523822.0040,347748.0412
2032-03-30,523886.1723,347812.2095
2032-04-09,524559.5198,348485.5570
2032-04-23,523872.0347,347798.0719
2032-05-07,502395.1888,260754.4461
2032-05-21,503139.3945,261498.6518
2032-06-04,500112.3917,258471.6490
2032-06-21,498730.5989,257089.8562
2032-07-02,498670.8899,257030.1472
2032-07-16,496230.4386,254589.6959
2032-07-30,495256.4090,253615.6663
2032-08-13,496023.9682,254383.2255
2032-08-27,496046.8904,254406.1477
2032-09-10,497808.5760,256167.8333
2032-09-24,499016.4027,257375.6599
2032-10-08,501289.4667,259648.7240
2032-10-22,501756.4794,260115.7367
2032-11-05,388019.7925,255095.6278
2032-11-19,387571.8380,254647.6733
2032-12-03,387031.4334,254107.2687
2032-12-17,388433.7476,255509.5829
2033-01-04,388710.0902,255785.9255
2033-01-14,386050.0076,253125.8429
2033-01-28,387887.6350,254963.4704
2033-02-11,388552.6410,255628.4764
2033-02-25,389981.5589,257057.3942
2033-03-11,388191.4664,255267.3017
2033-03-25,389317.2849,256393.1202
2033-04-08,388519.9654,255595.8007
2033-04-22,389140.0212,256215.8565
2033-05-06,373030.5225,176836.7973
2033-05-20,371806.5364,175612.8112
2033-06-03,372296.7188,176102.9936
2033-06-17,374015.7324,177822.0072
2033-07-01,373252.4635,177058.7383
2033-07-15,373925.8822,177732.1570
2033-07-29,373564.7052,177370.9800
2033-08-12,374058.5833,177864.8581
2033-08-26,373558.6687,177364.9435
2033-09-09,373345.0568,177151.3316
2033-09-23,372387.3973,176193.6721
2033-10-07,372559.3192,176365.5940
2033-10-21,372246.8684,176053.1432
2033-11-04,260598.6203,171945.4370
2033-11-18,261946.8910,173293.7076
2033-12-02,261494.8041,172841.6207
2033-12-16,261723.0460,173069.8627
2033-12-30,261234.0106,172580.8273
2034-01-13,260084.2161,171431.0328
2034-01-27,261341.7687,172688.5853
2034-02-10,262667.5079,174014.3245
2034-02-24,262667.5139,174014.3306
2034-03-10,262667.5206,174014.3372
2034-03-24,262667.5160,174014.3326
2034-04-11,262667.5487,174014.3653
2034-04-21,262667.5587,174014.3753
2034-05-05,243275.0490,92302.3881
2034-05-19,243275.0485,92302.3876
2034-06-02,243275.0488,92302.3879
2034-06-16,243275.0565,92302.3957
2034-06-30,243275.0453,92302.3844
2034-07-14,243275.0448,92302.3840
2034-07-28,243275.0467,92302.3858
2034-08-11,243275.0584,92302.3975
2034-08-25,243275.0638,92302.4030
2034-09-08,243275.0628,92302.4019
2034-09-22,243275.0625,92302.4017
2034-10-06,243275.0504,92302.3896
2034-10-20,243275.0566,92302.3957
2034-11-03,129977.9763,86001.7216
2034-11-17,129977.9686,86001.7139
2034-12-01,129977.9634,86001.7087
2034-12-15,129977.9599,86001.7052
2034-12-29,129977.9621,86001.7074
2035-01-12,129977.9672,86001.7125
2035-01-26,129977.9685,86001.7138
2035-02-09,129977.9611,86001.7064
2035-02-23,129977.9678,86001.7131
2035-03-09,129977.9617,86001.7071
2035-03-27,129977.9552,86001.7005
2035-04-06,129977.9594,86001.7047
2035-04-20,129977.9576,86001.7029
2035-05-04,119983.7940,14691.3580
2035-05-18,119983.7949,14691.3589
2035-06-01,119983.7951,14691.3592
2035-06-15,119983.7986,14691.3626
2035-06-29,119983.7997,14691.3637
2035-07-13,119983.8011,14691.3652
2035-07-27,119983.7981,14691.3621
2035-08-10,119983.7961,14691.3601
2035-08-24,119983.7984,14691.3625
2035-09-07,119983.7959,14691.3599
