#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
eonia_up,FX_CALL_OPTION,2016-08-05,0.497268,116408,0,0,0,162376,118764,118764,117754.05,117754.05
eonia_up,FX_CALL_OPTION,2016-11-07,0.754098,116891,0,0,0,176158,120493,120493,118686.72,118686.72
eonia_up,FX_CALL_OPTION,2017-02-06,1.003002,117963,0,0,0,194993,122813,122813,119710.78,119710.78
eonia_up,FX_CALL_OPTION,2017-05-05,1.244098,118505,0,0,0,188537,124580,124580,120654.40,120654.40
eonia_up,FX_CALL_OPTION,2017-08-07,1.501632,118430,0,0,0,205070,125795,125795,121536.04,121536.04
eonia_up,FX_CALL_OPTION,2017-11-06,1.750947,118266,0,0,0,203634,126880,126880,122297.01,122297.01
eonia_up,FX_CALL_OPTION,2018-02-05,2.000262,119521,0,0,0,220428,129510,129510,123196.04,123196.04
eonia_up,FX_CALL_OPTION,2018-05-07,2.249577,121317,0,0,0,209097,132775,132775,124257.64,124257.64
eonia_up,FX_CALL_OPTION,2018-08-06,2.498892,121369,0,0,0,223647,134166,134166,125246.17,125246.17
eonia_up,FX_CALL_OPTION,2018-11-05,2.748207,121650,0,0,0,242998,135827,135827,126206.03,126206.03
eonia_up,FX_CALL_OPTION,2019-02-05,3.000262,121308,0,0,0,255622,136820,136820,127097.74,127097.74
eonia_up,FX_CALL_OPTION,2019-05-06,3.246837,121087,0,0,0,251599,137928,137928,127920.20,127920.20
eonia_up,FX_CALL_OPTION,2019-08-05,3.496152,121068,0,0,0,232277,139291,139291,128731.03,128731.03
eonia_up,FX_CALL_OPTION,2019-11-05,3.748207,122004,0,0,0,283451,141792,141792,129609.33,129609.33
eonia_up,FX_CALL_OPTION,2020-02-05,4.000000,123454,0,0,0,291960,144935,144935,130574.03,130574.03
eonia_up,FX_CALL_OPTION,2020-05-05,4.245902,123485,0,0,0,284706,146410,146410,131491.19,131491.19
eonia_up,FX_CALL_OPTION,2020-08-05,4.497268,123816,0,0,0,328808,148293,148293,132430.28,132430.28
eonia_up,FX_CALL_OPTION,2020-11-05,4.748634,124049,0,0,0,341732,150080,150080,133364.56,133364.56
